"PipelineName","ProjectSpace","PipeRuntimeID","AvgMemUsg","MaxMemUsg","Numofruns"
"DE_User_Transcripts_20210122_120002.zip (CHILD_UserTranscript_SCD2)","GISEAAPS/TSDO","","0.03","159000","6"
"PARENT_Snowflake_SCD2","GISEAAPS/TSDO","5e86dda5cbeefb28971297d9_b2a70664-ed96-4bbc-84c9-889c8e7806e0","60","120","81"
"DE_Student_Certifications_20210122_120001.zip (CHILD_StudentCertification_SCD2)","GISEAAPS/TSDO","","0.033","53000","6"
"DE_Certifications_20210122_120002.csv (CHILD_Certification_SCD2)","GISEAAPS/TSDO","","0.032","434","6"
"DE_Courses_20210122_120001.csv (CHILD_Course_SCD2)","GISEAAPS/TSDO","","0.031","1300","6"
"DE_Certification_Learning_Items_20210122_120001.csv (CHILD_LrnItm_SCD2)","GISEAAPS/TSDO","","0.029","4600","6"
"DE_Classes_20210122_120002.csv (CHILD_Class_SCD2)","GISEAAPS/TSDO","","0.032","1700","6"
"DE_Users_20210122_040001.zip (CHILD_UserData_SCD2)","GISEAAPS/TSDO","","0.032","877","2"
"DE_Course_Equivalencies_20210121_163000.csv (CHILD_EqivalenceCourse_SCD2)","GISEAAPS/TSDO","","21","21","1"
"Daily_File_PARENT_Snowflake_SCD2","GISEAAPS/TSDO","5e86dda5cbeefb28971297d9_e78d2867-3baf-4c5d-88ce-4b4a909fa396","0.28","3.4","1"
"Distribution - 2019 Annual Customer Experience Survey (DistributionPipeline)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_a77141e3-65ee-4dea-9daf-c13bdbf6ffc8","0.01","3000","4"
"Distribution - Installation Survey (DistributionPipeline)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_d43dafe4-4ad6-455e-9d7a-1323dccf2307","0.01","3000","4"
"Distribution - Customer Service Survey (DistributionPipeline)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_3fb546f3-9fff-47b5-8fc0-a695df7fd34f","3.7","1.8","4"
"Distribution - Tech Support Survey (DistributionPipeline)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_1241e2be-c87f-4ca1-bc5f-5eeb35c8a82e","2.4","2.4","4"
"QuestionText - 2020_ANNUAL_CUSTOMER_EXPERIENCE_SURVEY (QuestionText - 2020_ANNUAL_CUSTOMER_EXPERIENCE_SURVEY)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_017b0bd8-46c5-4207-af95-90ddbb9ce9b3","0.0043","467","3"
"QuestionText - Tech Support Survey (QuestionText)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_9a892e60-0231-48d6-a283-00ac1d2630df","0.0042","370","3"
"QuestionText - Customer Service Survey (QuestionText)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_6eb709d2-0c35-42b7-8017-4d55a4a0c188","0.0017","100","3"
"QuestionAnswers_2020_ANNUAL_CUSTOMER_EXPERIENCE_SURVEY (QuestionAnswers_2020_ANNUAL_CUSTOMER_EXPERIENCE_SURVEY)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_b80cd047-1ad4-4e33-8ebd-893bd06d06c5","0.0043","497","3"
"QuestionText - Installation Survey (QuestionText)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_f7ec25ed-6143-4935-9d67-5a47b9369dc7","1.7","3.3","3"
"QuestionText - Post Install Training (QuestionText)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_f8f03039-59a7-4497-8098-2c91352bf58b","0.0018","24","3"
"TransposedAnswer - Tech Support Survey (QuestionAnswers)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_97819ae5-6c79-4793-aa8f-9a6e0f4983d8","2.4","2.4","3"
"TransposedAnswer - Customer Service Survey (QuestionAnswers)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_8c9b39de-37bf-4040-bd61-8d3b7ae1d198","0.0012","140","3"
"TransposedAnswer - Installation Survey (QuestionAnswers)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_c4ceb4f3-73c1-4964-b8da-991896850a67","0.003","15","3"
"Response-2020_ANNUAL_CX_SURVEY_RESPONSE (Response-2020_ANNUAL_CX_SURVEY_RESPONSE)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_933a7e9d-19c9-4bc9-9c36-ac7643790dee","11","22","4"
"MainPipeLine_2020_Survey","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_af0fb1a5-ede1-4f23-acc4-b90cfd775975","5500","5500","4"
"TransposedAnswer - Post Install Training (QuestionAnswers)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_3643ac69-49b4-4897-867e-51d5dbe036f4","0.0033","86","3"
"MainResponse - Customer Service Survey (Response-CUSTOMER_SERVICE_SURVEY_RESPONSE)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_d547a0cb-143d-4c58-b751-fc4af11d01f1","0.012","155","4"
"MainResponse - Post Install Training (Response-POST_INSTALL_TRAINING_RESPONSE)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_31e5d4db-8d1d-4429-816f-c5710300e9d8","8.9","18","4"
"MainResponse - Tech Support Survey (Response-TECH_SUPPORT_RESPONSE)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_bf5a7a35-b47c-43d9-96db-a3aed8b0fafa","0.017","184","4"
"MainResponse - Installation Survey (Response-INSTALLATION_SURVEY_RESPONSE)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_33d9e793-898a-482d-a51c-db675834623a","2.3","4.6","4"
"Distribution - Post Install Training (DistributionPipeline)","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_231ca3ba-2bbd-43a3-9b11-8af8b512c707","2.4","2.4","4"
"MainPipeLine-Survey","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_dd6ddac0-0253-419f-b4a9-ac0272aed5a9","25","25","16"
"MainPipeLine - Distribution","GISDIA/QUALTRICS","5e86dda5cbeefb28971297d9_3400cb49-2354-4c66-a875-d67432fa6be8","23200","23200","4"
